person_id,entry_time,exit_time,section_A_in,section_A_out,section_B_in,section_B_out,section_C_in,section_C_out,gender,age,total_time,A_time,B_time,C_time
248,23:23:23,23:23:46,,,,,,,male,60+,23,0,0,0
253,23:23:28,23:24:40,,,,,,,male,20-39,72,0,0,0
255,23:23:31,23:24:14,,,,,23:23:31,,male,60+,43,0,0,0
256,23:23:35,23:25:00,23:24:39,23:24:18,,,,,female,20-39,85,0,0,0
262,23:23:40,23:26:11,,,23:24:16,23:24:47,,,female,60+,151,0,31,0
265,23:23:43,23:35:43,,,23:30:26,23:30:59,23:32:45,23:34:47,female,60+,720,0,33,122
272,23:23:49,23:26:50,23:26:28,23:26:04,,,,,male,60+,181,0,0,0
273,23:23:49,23:24:55,23:24:07,23:24:11,,,,,male,60+,66,4,0,0
277,23:23:53,23:24:38,,,23:24:16,,,,male,20-39,45,0,0,0
278,23:23:55,23:24:46,,,,,,,male,60+,51,0,0,0
279,23:23:57,23:25:10,,,,,,,male,20-39,73,0,0,0
280,23:23:58,23:24:54,,,,,,,male,0-19,56,0,0,0
281,23:24:01,23:24:38,23:24:01,,,,,,female,20-39,37,0,0,0
282,23:24:06,23:27:13,,,,,23:25:52,23:25:53,male,60+,187,0,0,1
287,23:24:12,23:24:44,,,,,,,male,20-39,32,0,0,0
292,23:24:17,23:24:49,,,23:24:18,,,,male,60+,32,0,0,0
295,23:24:19,23:24:40,,,,,,,male,60+,21,0,0,0
296,23:24:20,23:24:58,,,,,23:24:20,,male,60+,38,0,0,0
297,23:24:21,23:27:30,,,23:24:21,23:27:09,,,male,20-39,189,0,168,0
302,23:24:26,23:30:06,,,23:27:46,23:28:53,,,male,60+,340,0,67,0
303,23:24:29,23:24:53,,,,,,,male,60+,24,0,0,0
304,23:24:31,23:24:49,,,,,,,male,60+,18,0,0,0
306,23:24:37,23:27:00,,,23:25:32,23:25:45,,,male,60+,143,0,13,0
307,23:24:46,23:29:29,23:27:50,23:27:45,,,,,male,0-19,283,0,0,0
309,23:24:48,23:25:09,,,,,,,male,60+,21,0,0,0
310,23:24:51,23:28:55,,,,,23:24:52,,male,0-19,244,0,0,0
312,23:24:57,23:26:24,,,,,,,male,20-39,87,0,0,0
314,23:25:02,23:32:15,,,23:29:59,23:30:02,,,female,60+,433,0,3,0
316,23:25:04,23:32:06,,,23:31:01,23:31:02,,,female,60+,422,0,1,0
317,23:25:05,23:25:45,,,,,,,male,60+,40,0,0,0
322,23:25:12,23:26:26,,,,,,,male,60+,74,0,0,0
323,23:25:14,23:26:46,23:26:01,23:26:26,23:25:14,23:25:36,,,female,60+,92,25,22,0
324,23:25:15,23:31:38,,,,,,,male,60+,383,0,0,0
329,23:25:19,23:28:56,23:25:53,,,,,,male,60+,217,0,0,0
330,23:25:20,23:26:26,23:25:21,,,,,,female,20-39,66,0,0,0
334,23:25:23,23:33:46,23:33:22,23:33:22,23:27:08,23:27:33,,,female,60+,503,0,25,0
337,23:25:26,23:25:44,,,,,,,male,60+,18,0,0,0
343,23:25:32,23:29:10,23:25:38,23:27:51,,,23:28:13,23:28:53,female,20-39,218,133,0,40
346,23:25:33,23:26:11,,,,,,,male,20-39,38,0,0,0
347,23:25:34,23:25:53,,,,,,,male,60+,19,0,0,0
353,23:25:40,23:31:02,,,23:30:44,,,,male,60+,322,0,0,0
355,23:25:44,23:26:06,,,,,,,male,60+,22,0,0,0
356,23:25:47,23:27:02,,,,,23:26:15,23:26:22,male,60+,75,0,0,7
357,23:25:47,23:28:25,,,23:26:04,23:27:12,23:27:22,23:27:23,male,20-39,158,0,68,1
358,23:25:50,23:26:28,,,,,,,male,20-39,38,0,0,0
362,23:25:55,23:26:41,,,,,,,female,60+,46,0,0,0
364,23:25:57,23:26:48,,,23:26:14,,,,male,60+,51,0,0,0
366,23:25:58,23:26:42,23:25:58,,,,,,female,20-39,44,0,0,0
367,23:26:00,23:29:25,23:26:01,23:27:07,23:27:58,23:28:15,,,female,20-39,205,66,17,0
370,23:26:02,23:26:41,,,,,,,female,60+,39,0,0,0
374,23:26:07,23:27:16,,,,,,,male,60+,69,0,0,0
375,23:26:10,23:26:32,,,,,,,female,60+,22,0,0,0
381,23:26:13,23:26:36,,,,,,,male,60+,23,0,0,0
382,23:26:14,23:28:56,,,23:27:47,23:28:17,,,female,20-39,162,0,30,0
385,23:26:18,23:27:19,,,,,,,male,0-19,61,0,0,0
387,23:26:18,23:29:01,,,,,,,male,20-39,163,0,0,0
388,23:26:20,23:26:57,,,,,23:26:20,,male,60+,37,0,0,0
393,23:26:26,23:31:16,23:26:26,23:27:50,,,23:29:49,23:30:15,male,20-39,290,84,0,26
396,23:26:29,23:33:50,23:33:18,23:33:23,,,,,male,20-39,441,5,0,0
397,23:26:30,23:26:53,,,,,,,male,20-39,23,0,0,0
401,23:26:36,23:28:49,,,23:26:51,23:27:52,,,male,60+,133,0,61,0
402,23:26:38,23:27:53,,,,,,,male,60+,75,0,0,0
403,23:26:41,23:31:03,,,,,23:30:43,23:30:35,female,20-39,262,0,0,0
408,23:26:46,23:29:00,,,,,,,male,60+,134,0,0,0
410,23:26:48,23:34:39,,,,,23:33:47,23:34:08,male,0-19,471,0,0,21
412,23:26:49,23:28:11,,,23:26:54,23:27:30,,,male,20-39,82,0,36,0
417,23:26:55,23:46:23,23:42:56,23:42:56,23:27:04,,,,male,60+,1168,0,0,0
419,23:26:59,23:28:28,,,23:26:59,23:27:16,,,male,20-39,89,0,17,0
421,23:27:01,23:29:15,,,,,,,female,60+,134,0,0,0
422,23:27:02,23:30:21,23:27:11,23:27:12,,,23:29:08,23:29:08,male,60+,199,1,0,0
429,23:27:05,23:28:29,,,,,,,male,20-39,84,0,0,0
430,23:27:06,23:29:25,,,23:27:11,23:28:16,,,male,0-19,139,0,65,0
433,23:27:08,23:30:26,,,,,23:27:10,,female,60+,198,0,0,0
439,23:27:16,23:27:40,,,,,,,male,20-39,24,0,0,0
441,23:27:18,23:27:41,,,,,,,male,20-39,23,0,0,0
447,23:27:22,23:29:31,,,,,,,male,60+,129,0,0,0
448,23:27:23,23:28:23,,,,,,,male,60+,60,0,0,0
449,23:27:25,23:28:08,,,,,,,male,60+,43,0,0,0
450,23:27:26,23:32:10,,,23:27:26,23:30:58,,,male,60+,284,0,212,0
451,23:27:28,23:29:19,,,,,23:27:28,,male,60+,111,0,0,0
453,23:27:29,23:30:36,,,,,23:27:56,23:29:09,male,20-39,187,0,0,73
458,23:27:33,23:32:39,23:32:18,23:32:14,,,23:31:37,23:31:38,male,60+,306,0,0,1
461,23:27:36,23:28:55,23:27:51,23:28:24,,,,,male,20-39,79,33,0,0
466,23:27:41,23:35:17,23:34:53,,23:33:28,23:33:29,23:33:35,23:34:29,male,0-19,456,0,1,54
467,23:27:42,23:28:04,,,,,23:27:42,,male,60+,22,0,0,0
471,23:27:48,23:28:48,,,,,,,male,60+,60,0,0,0
476,23:27:54,23:30:38,23:27:54,,,,,,male,20-39,164,0,0,0
481,23:27:59,23:30:11,,,,,,,male,60+,132,0,0,0
483,23:28:03,23:33:38,,,,,,,male,60+,335,0,0,0
